"TerminalReward","Model"
176,"optimal"
180,"optimal"
153,"optimal"
172,"optimal"
180,"optimal"
135,"optimal"
157,"optimal"
175,"optimal"
119,"optimal"
175,"optimal"
179,"optimal"
180,"optimal"
163,"optimal"
150,"optimal"
175,"optimal"
180,"optimal"
177,"optimal"
160,"optimal"
176,"optimal"
176,"optimal"
176,"optimal"
177,"optimal"
179,"optimal"
157,"optimal"
180,"optimal"
157,"optimal"
156,"optimal"
177,"optimal"
177,"optimal"
178,"optimal"
135,"optimal"
115,"optimal"
139,"optimal"
176,"optimal"
155,"optimal"
180,"optimal"
160,"optimal"
177,"optimal"
139,"optimal"
163,"greedy"
165,"greedy"
164,"greedy"
179,"greedy"
152,"greedy"
171,"greedy"
130,"greedy"
160,"greedy"
176,"greedy"
180,"greedy"
176,"greedy"
176,"greedy"
160,"greedy"
180,"greedy"
178,"greedy"
144,"greedy"
173,"greedy"
180,"greedy"
160,"greedy"
160,"greedy"
160,"greedy"
176,"greedy"
178,"greedy"
160,"greedy"
176,"greedy"
175,"greedy"
135,"greedy"
180,"greedy"
141,"greedy"
164,"greedy"
135,"greedy"
160,"greedy"
135,"greedy"
174,"greedy"
160,"greedy"
135,"greedy"
175,"greedy"
176,"greedy"
180,"greedy"
135,"greedy"
180,"greedy"
160,"greedy"
115,"greedy"
178,"greedy"
180,"greedy"
164,"greedy"
180,"greedy"
175,"greedy"
175,"greedy"
168,"greedy"
180,"greedy"
132,"greedy"
135,"greedy"
180,"greedy"
166,"greedy"
155,"greedy"
161,"greedy"
156,"greedy"
177,"greedy"
180,"greedy"
166,"greedy"
168,"greedy"
135,"greedy"
155,"greedy"
178,"greedy"
178,"greedy"
151,"greedy"
157,"greedy"
155,"greedy"
130,"greedy"
179,"greedy"
180,"greedy"
131,"greedy"
168,"greedy"
171,"greedy"
155,"greedy"
175,"greedy"
135,"greedy"
160,"greedy"
157,"greedy"
155,"greedy"
175,"greedy"
171,"greedy"
131,"greedy"
179,"greedy"
174,"greedy"
131,"greedy"
130,"greedy"
180,"greedy"
135,"greedy"
175,"greedy"
180,"greedy"
156,"greedy"
180,"greedy"
164,"greedy"
140,"greedy"
178,"greedy"
159,"greedy"
175,"greedy"
177,"greedy"
160,"greedy"
139,"greedy"
155,"greedy"
179,"greedy"
175,"greedy"
180,"greedy"
155,"greedy"
153,"greedy"
174,"greedy"
163,"greedy"
180,"greedy"
176,"greedy"
179,"greedy"
151,"greedy"
144,"greedy"
130,"greedy"
150,"greedy"
174,"greedy"
115,"greedy"
176,"greedy"
175,"greedy"
144,"greedy"
160,"greedy"
168,"greedy"
160,"greedy"
164,"greedy"
155,"greedy"
180,"greedy"
176,"greedy"
180,"greedy"
180,"greedy"
175,"greedy"
180,"greedy"
178,"greedy"
180,"greedy"
164,"greedy"
173,"greedy"
159,"greedy"
155,"greedy"
178,"greedy"
156,"greedy"
165,"greedy"
178,"greedy"
174,"greedy"
180,"greedy"
141,"greedy"
180,"greedy"
178,"greedy"
115,"greedy"
163,"greedy"
180,"greedy"
144,"greedy"
177,"greedy"
175,"greedy"
153,"greedy"
130,"greedy"
164,"greedy"
176,"greedy"
180,"greedy"
178,"greedy"
180,"greedy"
157,"greedy"
180,"greedy"
135,"greedy"
135,"greedy"
164,"greedy"
180,"greedy"
175,"greedy"
163,"greedy"
160,"greedy"
177,"greedy"
180,"greedy"
178,"greedy"
180,"greedy"
180,"greedy"
175,"greedy"
180,"greedy"
180,"greedy"
110,"greedy"
180,"greedy"
150,"greedy"
160,"greedy"
178,"greedy"
111,"greedy"
174,"greedy"
180,"greedy"
136,"greedy"
179,"greedy"
172,"greedy"
160,"greedy"
180,"greedy"
114,"greedy"
155,"greedy"
131,"greedy"
131,"greedy"
180,"greedy"
180,"greedy"
